,imdb_id,imdb_metascore,title
3903,tt0210299,63.0,Songcatcher
3926,tt0218817,31.0,Antitrust
3927,tt0238948,25.0,Double Take
3928,tt0206275,53.0,Save the Last Dance
3930,tt0237572,71.0,The Pledge
3931,tt0176883,n/a,Kids World
3933,tt0213446,29.0,The Amati Girls
3942,tt0186589,48.0,Sugar & Spice
3943,tt0209475,33.0,The Wedding Planner
3945,tt0116119,31.0,Dog Run
3947,tt0178642,40.0,The Invisible Circus
4015,tt0192111,27.0,Head Over Heels
4017,tt0242998,18.0,Valentine
4022,tt0212985,57.0,Hannibal
4023,tt0239948,22.0,Saving Silverman
4024,tt0230783,60.0,Signs & Wonders
4027,tt0231775,32.0,Down to Earth
4028,tt0265632,43.0,Recess: School's Out
4029,tt0230838,27.0,Sweet November
4032,tt0166276,40.0,Monkeybone
4033,tt0233142,21.0,3000 Miles to Graceland
4035,tt0236493,43.0,The Mexican
4036,tt0250720,24.0,See Spot Run
4037,tt0262462,n/a,Carman: The Champion
4038,tt0182000,44.0,The Caveman's Valentine
4040,tt0251031,55.0,Series 7: The Contenders
4041,tt0179626,34.0,15 Minutes
4042,tt0192071,52.0,Get Over It
4043,tt0212380,38.0,Blow Dry
4096,tt0215750,53.0,Enemy at the Gates
4097,tt0242445,39.0,Exit Wounds
4100,tt0250274,50.0,The Brothers
4101,tt0125022,47.0,Heartbreakers
4102,tt0239949,21.0,Say It Isn't So
4104,tt0244970,32.0,Someone Like You...
4105,tt0227538,71.0,Spy Kids
4106,tt0246989,15.0,Tomcats
4107,tt0236784,66.0,The Tailor of Panama
4111,tt0164334,42.0,Along Came a Spider
4112,tt0221027,52.0,Blow
4113,tt0189192,38.0,Just Visiting
4116,tt0268200,62.0,Brigham City
4119,tt0243155,66.0,Bridget Jones's Diary
4120,tt0245686,20.0,Joe Dirt
4121,tt0236348,47.0,Josie and the Pussycats
4123,tt0201485,21.0,The Body
4127,tt0231402,37.0,Crocodile Dundee in Los Angeles
4128,tt0240515,13.0,Freddy Got Fingered
4129,tt0240402,44.0,The Center of the World
4130,tt0289175,n/a,The Girl
4131,tt0251191,64.0,The Low Down
4137,tt0132245,29.0,Driven
4138,tt0245120,35.0,The Forsaken
4139,tt0203755,46.0,One Night at McCool's
4140,tt0141907,34.0,Town & Country
4141,tt0234570,n/a,Rat
4142,tt0209163,48.0,The Mummy Returns
4171,tt0183790,56.0,A Knight's Tale
4175,tt0204640,47.0,Sordid Lives
4176,tt0256408,75.0,Startup.com
4177,tt0225071,39.0,Angel Eyes
4178,tt0126029,84.0,Shrek
4180,tt0203009,66.0,Moulin Rouge!
4182,tt0213149,44.0,Pearl Harbor
4187,tt0189541,n/a,Gabriela
4212,tt0255798,43.0,The Animal
4213,tt0161083,37.0,What's the Worst That Could Happen?
4215,tt0251075,40.0,Evolution
4216,tt0244244,32.0,Swordfish
4217,tt0254099,56.0,The Anniversary Party
4218,tt0212827,35.0,Bride of the Wind
4237,tt0244709,26.0,Pavilion of Women
4238,tt0230011,52.0,Atlantis: The Lost Empire
4239,tt0146316,33.0,Lara Croft: Tomb Raider
4240,tt0240462,49.0,Dr. Dolittle 2
4241,tt0232500,58.0,The Fast and the Furious
4242,tt0212720,65.0,A.I. Artificial Intelligence
4243,tt0255819,55.0,Baby Boy
4244,tt0250224,61.0,Crazy/Beautiful
4245,tt0258038,31.0,Pootie Tang
4248,tt0284067,75.0,Down from the Mountain
4249,tt0215139,34.0,Russian Doll
4253,tt0243493,72.0,The Closet
4257,tt0210217,60.0,Pandaemonium
4258,tt0239395,47.0,Cats & Dogs
4259,tt0271027,58.0,Kiss of the Dragon
4260,tt0257106,29.0,Scary Movie 2
4261,tt0245238,53.0,Lost and Delirious
